run,graph,n,m,k,time_ms,edge_cut,imbalance,max_part_weight,optimal_part_weight
Base,data.mtx,2851,30186,2,104,206,0.0459488,1491,1425.5
Base,data.mtx,2851,30186,4,213,395,0.0256051,731,712.75
Base,data.mtx,2851,30186,8,307,701,0.0859348,387,356.375
Base,data.mtx,2851,30186,16,418,1230,0.133637,202,178.188
Base,data.mtx,2851,30186,32,520,1986,0.200982,107,89.0938
Base,data.mtx,2851,30186,64,642,3009,0.840758,82,44.5469
Base,data.mtx,2851,30186,128,708,4498,0.750965,39,22.2734
Base,data.mtx,2851,30186,256,790,6669,0.885654,21,11.1367
Base,fe_4elt2.mtx,11143,65636,2,248,130,0.0499865,5850,5571.5
Base,fe_4elt2.mtx,11143,65636,4,451,353,0.0499865,2925,2785.75
Base,fe_4elt2.mtx,11143,65636,8,678,634,0.102755,1536,1392.88
Base,fe_4elt2.mtx,11143,65636,16,922,1078,0.107063,771,696.438
Base,fe_4elt2.mtx,11143,65636,32,1123,1748,0.803464,628,348.219
Base,fe_4elt2.mtx,11143,65636,64,1343,2664,0.705824,297,174.109
Base,fe_4elt2.mtx,11143,65636,128,1531,4017,0.791977,156,87.0547
Base,fe_4elt2.mtx,11143,65636,256,1744,5883,0.746029,76,43.5273
Base,fe_tooth.mtx,78136,905182,2,5094,4257,0.0427716,40739,39068
Base,fe_tooth.mtx,78136,905182,4,10007,8855,0.0407495,20330,19534
Base,fe_tooth.mtx,78136,905182,8,14926,14884,0.0418757,10176,9767
Base,fe_tooth.mtx,78136,905182,16,19151,20511,0.0770963,5260,4883.5
Base,fe_tooth.mtx,78136,905182,32,23571,27302,0.138937,2781,2441.75
Base,fe_tooth.mtx,78136,905182,64,28012,37020,0.761851,2151,1220.88
Base,fe_tooth.mtx,78136,905182,128,32250,49546,0.800348,1099,610.438
Base,fe_tooth.mtx,78136,905182,256,36348,68170,0.877342,573,305.219
Base,wing.mtx,62032,243088,2,1610,3677,0,31016,31016
Base,wing.mtx,62032,243088,4,2811,6105,6.44828e-05,15509,15508
Base,wing.mtx,62032,243088,8,3923,8439,0.015089,7871,7754
Base,wing.mtx,62032,243088,16,5086,10929,0.0294042,3991,3877
Base,wing.mtx,62032,243088,32,5664,12316,0.0554552,2046,1938.5
Base,wing.mtx,62032,243088,64,6623,13576,0.0668042,1034,969.25
Base,wing.mtx,62032,243088,128,7287,16475,0.659015,804,484.625
Base,wing.mtx,62032,243088,256,8011,19833,0.555842,377,242.312
Base,auto.mtx,448695,6629222,2,52849,14873,2.22869e-06,224348,224348
Base,auto.mtx,448695,6629222,4,99988,32452,0.0437825,117085,112174
Base,auto.mtx,448695,6629222,8,143419,52401,0.046769,58710,56086.9
Base,auto.mtx,448695,6629222,16,188770,86692,0.133206,31779,28043.4
Base,auto.mtx,448695,6629222,32,220805,131399,0.130675,15854,14021.7
Base,auto.mtx,448695,6629222,64,248532,192520,0.870812,13116,7010.86
Base,auto.mtx,448695,6629222,128,280486,265258,0.861969,6527,3505.43
Base,auto.mtx,448695,6629222,256,310683,356502,0.909038,3346,1752.71
Base,m14b.mtx,214765,3358036,2,21802,4005,0.04531,112248,107382
Base,m14b.mtx,214765,3358036,4,42630,13786,0.0822993,58110,53691.2
Base,m14b.mtx,214765,3358036,8,62076,29006,0.114372,29916,26845.6
Base,m14b.mtx,214765,3358036,16,79582,49197,0.117128,14995,13422.8
Base,m14b.mtx,214765,3358036,32,97373,74655,0.791726,12025,6711.41
Base,m14b.mtx,214765,3358036,64,115784,107360,0.727209,5796,3355.7
Base,m14b.mtx,214765,3358036,128,130145,151866,0.879785,3154,1677.85
Base,m14b.mtx,214765,3358036,256,144484,209480,0.859521,1560,838.926
Base,fe_sphere.mtx,16386,98304,2,291,384,0.0117173,8289,8193
Base,fe_sphere.mtx,16386,98304,4,566,816,0.0623703,4352,4096.5
Base,fe_sphere.mtx,16386,98304,8,839,1288,0.115586,2285,2048.25
Base,fe_sphere.mtx,16386,98304,16,1117,2024,0.144392,1172,1024.12
Base,fe_sphere.mtx,16386,98304,32,1379,2876,0.232271,631,512.062
Base,fe_sphere.mtx,16386,98304,64,1637,4117,0.644331,421,256.031
Base,fe_sphere.mtx,16386,98304,128,1912,5807,0.687294,216,128.016
Base,fe_sphere.mtx,16386,98304,256,2289,8110,0.812279,116,64.0078
Base,fe_rotor.mtx,99617,1324862,2,7230,2050,0.0469498,52147,49808.5
Base,fe_rotor.mtx,99617,1324862,4,14026,8060,0.0670468,26574,24904.2
Base,fe_rotor.mtx,99617,1324862,8,20915,13616,0.0870434,13536,12452.1
Base,fe_rotor.mtx,99617,1324862,16,27170,22168,0.116597,6952,6226.06
Base,fe_rotor.mtx,99617,1324862,32,33297,34465,0.804029,5616,3113.03
Base,fe_rotor.mtx,99617,1324862,64,39116,50302,0.742353,2712,1556.52
Base,fe_rotor.mtx,99617,1324862,128,44755,71677,0.692241,1317,778.258
Base,fe_rotor.mtx,99617,1324862,256,50357,100670,0.842577,717,389.129
Base,cs4.mtx,22499,87716,2,376,1188,4.44464e-05,11250,11249.5
Base,cs4.mtx,22499,87716,4,730,2230,4.44464e-05,5625,5624.75
Base,cs4.mtx,22499,87716,8,1054,3505,0.00840037,2836,2812.38
Base,cs4.mtx,22499,87716,16,1360,3916,0.00697809,1416,1406.19
Base,cs4.mtx,22499,87716,32,1656,4866,0.0567581,743,703.094
Base,cs4.mtx,22499,87716,64,1946,6075,0.0496467,369,351.547
Base,cs4.mtx,22499,87716,128,2227,7056,0.0638695,187,175.773
Base,cs4.mtx,22499,87716,256,2493,8629,0.115072,98,87.8867
Base,t60k.mtx,60005,178880,2,569,336,1.66653e-05,30003,30002.5
Base,t60k.mtx,60005,178880,4,1048,2311,0.0451129,15678,15001.2
Base,t60k.mtx,60005,178880,8,1549,2722,0.083643,8128,7500.62
Base,t60k.mtx,60005,178880,16,2057,4375,0.136705,4263,3750.31
Base,t60k.mtx,60005,178880,32,2571,4684,0.128439,2116,1875.16
Base,t60k.mtx,60005,178880,64,3116,5041,0.12524,1055,937.578
Base,t60k.mtx,60005,178880,128,3544,7147,0.774785,832,468.789
Base,t60k.mtx,60005,178880,256,4186,8297,0.864378,437,234.395
Base,144.mtx,144649,2148786,2,13904,7082,0.0103907,73076,72324.5
Base,144.mtx,144649,2148786,4,26983,17223,0.0127688,36624,36162.2
Base,144.mtx,144649,2148786,8,38799,28481,0.0296926,18618,18081.1
Base,144.mtx,144649,2148786,16,50017,42502,0.0739376,9709,9040.56
Base,144.mtx,144649,2148786,32,60960,62502,0.0594474,4789,4520.28
Base,144.mtx,144649,2148786,64,70782,87630,0.102144,2491,2260.14
Base,144.mtx,144649,2148786,128,81036,118898,0.140637,1289,1130.07
Base,144.mtx,144649,2148786,256,89362,158788,0.840593,1040,565.035
Base,598a.mtx,110971,1483868,2,9413,2375,0.0450118,57983,55485.5
Base,598a.mtx,110971,1483868,4,17737,8260,0.0362347,28748,27742.8
Base,598a.mtx,110971,1483868,8,26632,16984,0.0908796,15132,13871.4
Base,598a.mtx,110971,1483868,16,34502,29553,0.150138,7977,6935.69
Base,598a.mtx,110971,1483868,32,40800,43639,0.77805,6166,3467.84
