run,graph,n,m,k,time_ms,edge_cut,imbalance,max_part_weight,optimal_part_weight
Multilevel,data.mtx,2851,30186,2,48,251,0.000350754,1426,1425.5
Multilevel,data.mtx,2851,30186,4,115,523,0.00175377,714,712.75
Multilevel,data.mtx,2851,30186,8,186,834,0.0578744,377,356.375
Multilevel,data.mtx,2851,30186,16,268,1234,0.0943529,195,178.188
Multilevel,data.mtx,2851,30186,32,365,2016,0.189758,106,89.0938
Multilevel,data.mtx,2851,30186,64,441,3124,0.257103,56,44.5469
Multilevel,data.mtx,2851,30186,128,520,4637,0.661172,37,22.2734
Multilevel,data.mtx,2851,30186,256,621,6835,0.616275,18,11.1367
Multilevel,fe_4elt2.mtx,11143,65636,2,88,130,8.97424e-05,5572,5571.5
Multilevel,fe_4elt2.mtx,11143,65636,4,181,356,0.000448712,2787,2785.75
Multilevel,fe_4elt2.mtx,11143,65636,8,283,651,0.000807682,1394,1392.88
Multilevel,fe_4elt2.mtx,11143,65636,16,483,1128,0.0180382,709,696.438
Multilevel,fe_4elt2.mtx,11143,65636,32,591,1800,0.0367047,361,348.219
Multilevel,fe_4elt2.mtx,11143,65636,64,810,2761,0.108499,193,174.109
Multilevel,fe_4elt2.mtx,11143,65636,128,957,4106,0.171677,102,87.0547
Multilevel,fe_4elt2.mtx,11143,65636,256,1104,5954,0.217625,53,43.5273
Multilevel,fe_tooth.mtx,78136,905182,2,1357,4236,0,39068,39068
Multilevel,fe_tooth.mtx,78136,905182,4,2689,7714,5.11928e-05,19535,19534
Multilevel,fe_tooth.mtx,78136,905182,8,4138,13865,0.000102386,9768,9767
Multilevel,fe_tooth.mtx,78136,905182,16,5677,21185,0.000102386,4884,4883.5
Multilevel,fe_tooth.mtx,78136,905182,32,7146,29892,0.000511928,2443,2441.75
Multilevel,fe_tooth.mtx,78136,905182,64,8941,40814,0.00092147,1222,1220.88
Multilevel,fe_tooth.mtx,78136,905182,128,11106,53869,0.0123887,618,610.438
Multilevel,fe_tooth.mtx,78136,905182,256,13994,72386,0.045152,319,305.219
Multilevel,wing.mtx,62032,243088,2,810,1018,0,31016,31016
Multilevel,wing.mtx,62032,243088,4,1468,1935,0,15508,15508
Multilevel,wing.mtx,62032,243088,8,2154,3028,0.000128966,7755,7754
Multilevel,wing.mtx,62032,243088,16,2892,4566,0.000257931,3878,3877
Multilevel,wing.mtx,62032,243088,32,3393,6775,0.000773794,1940,1938.5
Multilevel,wing.mtx,62032,243088,64,4144,9285,0.00180552,971,969.25
Multilevel,wing.mtx,62032,243088,128,4830,12130,0.0502966,509,484.625
Multilevel,wing.mtx,62032,243088,256,5478,16758,0.0688677,259,242.312
Multilevel,auto.mtx,448695,6629222,2,18102,10775,2.22869e-06,224348,224348
Multilevel,auto.mtx,448695,6629222,4,33093,30217,2.22869e-06,112174,112174
Multilevel,auto.mtx,448695,6629222,8,46923,52423,2.00582e-05,56088,56086.9
Multilevel,auto.mtx,448695,6629222,16,62601,86189,2.00582e-05,28044,28043.4
Multilevel,auto.mtx,448695,6629222,32,74359,133962,9.13761e-05,14023,14021.7
Multilevel,auto.mtx,448695,6629222,64,87403,196046,0.000162694,7012,7010.86
Multilevel,auto.mtx,448695,6629222,128,94790,267576,0.000447966,3507,3505.43
Multilevel,auto.mtx,448695,6629222,256,111102,362666,0.000733237,1754,1752.71
Multilevel,m14b.mtx,214765,3358036,2,6694,3961,4.65625e-06,107383,107382
Multilevel,m14b.mtx,214765,3358036,4,12986,13950,1.39688e-05,53692,53691.2
Multilevel,m14b.mtx,214765,3358036,8,19723,28668,1.39688e-05,26846,26845.6
Multilevel,m14b.mtx,214765,3358036,16,23805,47972,8.84688e-05,13424,13422.8
Multilevel,m14b.mtx,214765,3358036,32,32165,75068,8.84688e-05,6712,6711.41
Multilevel,m14b.mtx,214765,3358036,64,36307,109293,0.000386469,3357,3355.7
Multilevel,m14b.mtx,214765,3358036,128,44363,154404,0.0239285,1718,1677.85
Multilevel,m14b.mtx,214765,3358036,256,51589,212445,0.0251205,860,838.926
Multilevel,fe_sphere.mtx,16386,98304,2,143,458,0,8193,8193
Multilevel,fe_sphere.mtx,16386,98304,4,279,1003,0.000122055,4097,4096.5
Multilevel,fe_sphere.mtx,16386,98304,8,412,1424,0.000366166,2049,2048.25
Multilevel,fe_sphere.mtx,16386,98304,16,587,2025,0.00183083,1026,1024.12
Multilevel,fe_sphere.mtx,16386,98304,32,705,2955,0.0194068,522,512.062
Multilevel,fe_sphere.mtx,16386,98304,64,933,4112,0.0545588,270,256.031
Multilevel,fe_sphere.mtx,16386,98304,128,1142,5836,0.10924,142,128.016
Multilevel,fe_sphere.mtx,16386,98304,256,1354,8214,0.171732,75,64.0078
Multilevel,fe_rotor.mtx,99617,1324862,2,2002,2168,1.00384e-05,49809,49808.5
Multilevel,fe_rotor.mtx,99617,1324862,4,4322,8540,3.01153e-05,24905,24904.2
Multilevel,fe_rotor.mtx,99617,1324862,8,6423,14421,7.02691e-05,12453,12452.1
Multilevel,fe_rotor.mtx,99617,1324862,16,8686,23385,0.000150577,6227,6226.06
Multilevel,fe_rotor.mtx,99617,1324862,32,11679,37107,0.000311192,3114,3113.03
Multilevel,fe_rotor.mtx,99617,1324862,64,14498,53425,0.000953652,1558,1556.52
Multilevel,fe_rotor.mtx,99617,1324862,128,17608,73843,0.0163727,791,778.258
Multilevel,fe_rotor.mtx,99617,1324862,256,21245,103172,0.0484957,408,389.129
Multilevel,cs4.mtx,22499,87716,2,272,408,4.44464e-05,11250,11249.5
Multilevel,cs4.mtx,22499,87716,4,489,1116,4.44464e-05,5625,5624.75
Multilevel,cs4.mtx,22499,87716,8,687,1798,0.000577803,2814,2812.38
Multilevel,cs4.mtx,22499,87716,16,916,2526,0.000577803,1407,1406.19
Multilevel,cs4.mtx,22499,87716,32,1211,3486,0.0140895,713,703.094
